beginTime,classType,EventOccurred
2010-04-03T09:04Z,B7.4,0
2010-06-12T00:30Z,M2.0,1
2010-08-07T17:55Z,M1.0,1
2010-08-14T09:38Z,C4.4,1
2010-08-18T04:45Z,C4.5,1
2010-10-16T19:07Z,M2.9,1
2011-01-28T00:44Z,M1.3,1
2011-02-09T01:23Z,M1.9,1
2011-02-13T17:28Z,M6.6,1
2011-02-14T17:20Z,M2.2,1
2011-02-15T01:44Z,X2.2,1
2011-02-16T01:32Z,M1.0,1
2011-02-18T09:55Z,M6.6,1
2011-02-24T07:23Z,M3.5,1
2011-02-28T12:38Z,M1.1,1
2011-03-07T13:44Z,M2.0,1
2011-03-07T19:43Z,M3.7,1
2011-03-08T02:24Z,M1.3,1
2011-03-08T03:37Z,M1.5,1
2011-03-08T10:35Z,M5.3,1
2011-03-09T23:13Z,X1.5,1
2011-06-07T06:16Z,M2.5,1
2011-07-30T02:05Z,M9.3,1
2011-08-03T13:17Z,M6.0,1
2011-08-04T03:41Z,M9.3,1
2011-08-09T07:48Z,X6.9,1
2011-09-06T01:35Z,M5.3,1
2011-09-06T22:12Z,X2.1,1
2011-09-07T22:32Z,X1.8,1
2011-09-08T15:32Z,M6.7,1
2011-09-22T10:29Z,X1.4,1
2011-09-24T09:21Z,X1.9,1
2011-09-24T12:33Z,M7.1,1
2011-09-24T20:29Z,M5.8,1
2011-09-25T04:31Z,M8.8,1
2011-11-03T20:16Z,X1.9,1
2012-01-23T03:38Z,M8.7,1
2012-01-27T17:37Z,X1.8,1
2012-03-05T03:30Z,X1.1,1
2012-03-07T00:02Z,X5.4,1
2012-03-07T01:05Z,X1.3,1
2012-03-09T03:22Z,M6.3,1
2012-03-10T14:43Z,C8.0,1
2012-03-10T17:15Z,M5.4,1
2012-03-10T17:32Z,M8.4,1
2012-03-13T16:21Z,M7.9,1
2012-05-10T04:11Z,M5.7,1
2012-05-17T00:30Z,M5.1,1
2012-06-13T11:29Z,M1.2,1
2012-06-14T12:52Z,M1.9,1
2012-07-02T10:43Z,M5.6,1
2012-07-04T09:47Z,M5.3,1
2012-07-05T11:39Z,M6.1,1
2012-07-06T23:01Z,X1.1,1
2012-07-08T16:23Z,M6.9,1
2012-07-12T15:37Z,X1.4,1
2012-07-17T12:03Z,M1.8,1
2012-07-19T04:17Z,M7.7,1
2012-07-28T20:44Z,M6.2,1
2012-08-18T00:24Z,M5.5,1
2012-08-31T19:45Z,C8.4,1
2012-09-27T23:36Z,C3.7,1
2012-10-20T18:05Z,M9.1,1
2012-10-22T18:38Z,M5.0,1
2012-10-23T03:13Z,X1.8,1
2012-11-08T02:09Z,M1.7,1
2012-11-13T01:58Z,M6.0,1
2012-11-20T12:36Z,M1.7,1
2012-11-21T15:10Z,M3.5,1
2013-03-15T05:51Z,M1.2,1
2013-04-11T06:55Z,M6.5,1
2013-05-03T17:24Z,M5.7,1
2013-05-13T01:53Z,X1.6,1
2013-05-13T15:40Z,X2.8,1
2013-05-14T01:00Z,X3.2,1
2013-05-15T01:25Z,X1.2,1
2013-05-22T12:30Z,M5.0,1
2013-06-07T22:32Z,M5.9,1
2013-06-21T02:30Z,M2.9,1
2013-10-22T00:14Z,M1.0,1
2013-10-22T14:49Z,M1.0,1
2013-10-22T21:15Z,M4.3,1
2013-10-24T00:22Z,M9.3,1
2013-10-25T07:53Z,X1.7,1
2013-10-25T14:52Z,X2.1,1
2013-10-26T19:24Z,M3.1,1
2013-10-26T19:49Z,M1.0,1
2013-10-28T01:41Z,X1.0,1
2013-10-28T04:32Z,M5.1,1
